0,1.20714
1.207,1.20714
1.207,1.20714
1.207,1.20714
1.207,1.20715
1.20702,1.20715
1.20702,1.20716
1.20702,1.20717
1.20702,1.20717
1.20702,1.2072
1.20702,1.2072
1.20702,1.20725
1.20713,1.20725
1.20713,1.20726
1.20714,1.20726
1.20714,1.20727
1.20714,1.20724
1.20709,1.20724
1.20711,1.20724
1.20711,1.20723
1.20711,1.20723
1.20711,1.20719
1.20711,1.20718
1.20711,1.20713
1.20711,1.20709
1.20711,1.20711
1.20711,1.20714
1.20711,1.20712
1.20711,1.20713
1.20711,1.2071
1.20711,1.2071
1.20711,1.20708
1.20711,1.20708
1.20711,1.20702
1.20711,1.20706
1.20711,1.20707
1.20711,1.20705
1.20711,1.20703
1.20711,1.20703
1.20711,1.20702
1.20711,1.20704
1.20711,1.20696
1.20711,1.20699
1.20711,1.20699
1.20711,1.207
1.20711,1.20703
1.20711,1.20704
1.20691,1.20704
1.20691,1.20704
1.20691,1.20681
1.20691,1.20681
1.20691,1.20681
1.20691,1.2068
1.20691,1.20681
1.20691,1.2068
1.20691,1.20681
1.20691,1.20681
1.20691,1.20681
1.20691,1.20681
1.20691,1.20682
1.20691,1.20682
1.20691,1.20682
1.20691,1.20683
1.20691,1.20683
1.20691,1.20683
1.20691,1.20682
1.20691,1.20683
1.20691,1.20684
1.20691,1.20693
1.20691,1.20689
1.20674,1.20689
1.20674,1.20689
1.20674,1.20687
1.20674,1.20683
1.20674,1.20687
1.20675,1.20687
1.20675,1.20689
1.20678,1.20689
1.20677,1.20689
1.20677,1.20689
1.20677,1.20689
1.20677,1.2069
1.20677,1.2069
1.20677,1.20692
1.20679,1.20692
1.20679,1.20722
1.20679,1.20692
1.20679,1.20693
1.20681,1.20693
1.20681,1.20693
1.20681,1.20692
1.20679,1.20692
1.20679,1.20696
1.20679,1.20696
1.20679,1.20697
1.20679,1.20703
1.20679,1.20703
1.20679,1.20704
1.20679,1.20703
1.20679,1.20705
1.20679,1.20705
1.20679,1.20705
1.20679,1.20706
1.20679,1.20709
1.20679,1.20704
1.20679,1.20708
1.20679,1.20707
1.20679,1.20708
1.20679,1.20706
1.20679,1.20706
1.20679,1.20706
1.20679,1.20704
1.20679,1.20705
1.20679,1.20703
1.20679,1.20706
1.20679,1.20705
1.20679,1.20705
1.20679,1.20703
1.20679,1.20705
1.20691,1.20705
1.20692,1.20705
1.20692,1.20709
1.20692,1.20704
1.20692,1.20704
1.20692,1.20704
1.20692,1.207
1.20692,1.20701
1.20692,1.207
1.20692,1.20699
1.20692,1.207
1.20692,1.20699
1.20692,1.20701
1.20692,1.207
1.20686,1.207
1.20686,1.20699
